influencer_id,basis,rate,orders,total_payout
1,order,246.94,63,15557.22
2,order,256.48,22,5642.56
3,post,571.17,47,5711.7
4,order,159.27,62,9874.74
5,order,282.83,41,11596.03
6,order,104.41,31,3236.71
7,order,113.63,86,9772.18
8,order,117.05,28,3277.4
9,order,485.12,45,21830.4
10,order,452.97,64,28990.08
11,order,210.76,42,8851.92
12,post,486.2,42,6320.6
13,post,479.07,55,6227.91
14,order,305.22,48,14650.56
15,post,724.74,97,13045.32
16,order,362.37,40,14494.8
17,order,283.79,25,7094.75
18,post,422.67,84,2536.02
19,order,469.39,56,26285.84
20,post,932.93,96,7463.44
21,order,250.61,74,18545.14
22,order,342.34,29,9927.86
23,post,660.83,51,3304.15
24,order,151.77,85,12900.45
25,order,335.54,27,9059.58
26,order,333.8,77,25702.6
27,order,127.03,50,6351.5
28,post,881.62,28,10579.44
29,post,385.36,47,2312.16
30,post,599.55,80,10192.35
31,order,229.46,29,6654.34
32,post,985.06,60,12805.78
33,post,284.35,40,3127.85
34,post,782.53,78,6260.24
35,order,402.33,91,36612.03
36,order,468.95,65,30481.75
37,post,689.52,50,6895.2
38,post,229.93,29,3219.02
39,post,553.22,79,6638.64
40,order,342.61,58,19871.38
41,post,938.84,90,4694.2
42,order,143.06,22,3147.32
43,order,251.05,31,7782.55
44,post,356.57,67,2852.56
45,order,275.01,21,5775.21
46,order,190.2,92,17498.4
47,post,547.25,84,9850.5
48,post,268.81,90,2956.91
49,post,703.29,38,7032.9
50,post,362.83,99,6893.77
51,post,914.63,28,17377.97
52,order,409.75,81,33189.75
53,post,472.57,60,4253.13
54,order,176.05,11,1936.55
55,post,656.3,73,9188.2
56,order,300.34,35,10511.9
57,order,347.39,36,12506.04
58,post,841.28,20,12619.2
59,order,271.0,61,16531.0
60,order,449.59,14,6294.26
61,post,301.75,65,3319.25
62,order,140.37,22,3088.14
63,order,192.23,95,18261.85
64,order,109.02,88,9593.76
65,order,468.91,83,38919.53
66,order,256.17,85,21774.45
67,order,127.18,72,9156.96
68,post,974.49,30,9744.9
69,post,627.54,22,6902.94
70,post,882.56,25,9708.16
71,order,259.69,87,22593.03
72,post,636.75,47,4457.25
73,post,666.22,86,12658.18
74,order,361.29,76,27458.04
75,post,470.44,17,4704.4
76,order,180.2,68,12253.6
77,post,311.43,81,4048.59
78,order,469.67,50,23483.5
79,post,388.49,66,5050.37
80,post,844.53,85,5067.18
81,post,476.68,48,2383.4
82,post,959.93,64,17278.74
83,post,910.01,13,10010.11
84,order,478.64,54,25846.56
85,order,389.33,76,29589.08
86,post,228.48,13,4112.64
87,post,720.27,58,10804.05
88,order,291.04,23,6693.92
89,post,217.15,42,1085.75
90,post,221.08,98,3537.28
91,post,627.35,19,11919.65
92,order,372.78,86,32059.08
93,post,642.0,20,3210.0
94,post,509.7,82,7135.8
95,order,378.18,79,29876.22
96,order,380.54,10,3805.4
97,post,292.47,68,2047.29
98,post,917.72,84,15601.24
99,order,240.72,18,4332.96
100,order,274.61,65,17849.65
101,post,390.54,60,6248.64
102,post,670.89,83,5367.12
103,post,530.45,87,9017.65
104,post,992.75,48,6949.25
105,post,898.6,94,5391.6
106,post,850.1,58,5950.7
107,post,245.32,42,2207.88
108,order,172.24,28,4822.72
109,post,451.3,55,4964.3
110,post,998.47,30,15975.52
111,post,684.9,32,11643.3
112,order,363.03,46,16699.38
113,post,261.1,62,2088.8
114,post,595.94,93,8343.16
115,order,459.06,18,8263.08
116,post,554.83,47,3328.98
117,order,476.57,72,34313.04
118,order,447.59,97,43416.23
119,post,621.48,94,6836.28
120,order,227.54,50,11377.0
121,post,243.2,48,3404.8
122,order,382.2,79,30193.8
123,order,211.91,63,13350.33
124,post,929.64,95,12085.32
125,post,443.95,98,6659.25
126,post,298.2,99,2087.4
127,post,228.69,21,2744.28
128,post,758.67,86,11380.05
129,order,481.22,69,33204.18
130,post,599.13,32,4793.04
131,post,416.24,10,7492.32
132,order,220.17,78,17173.26
133,post,247.78,90,3716.7
134,order,298.14,45,13416.3
135,order,253.87,68,17263.16
136,post,379.56,48,4934.28
137,order,173.77,65,11295.05
138,order,313.0,12,3756.0
139,order,112.52,28,3150.56
140,order,474.89,37,17570.93
141,order,469.08,14,6567.12
142,order,424.1,84,35624.4
143,post,805.8,98,8863.8
144,order,390.31,19,7415.89
145,order,446.3,19,8479.7
146,post,845.92,31,11842.88
147,order,480.99,90,43289.1
148,order,443.41,49,21727.09
149,order,269.53,95,25605.35
150,order,165.02,31,5115.62
151,order,286.93,30,8607.9
152,post,305.5,81,2138.5
153,post,424.56,96,4245.6
154,order,134.21,46,6173.66
155,post,817.07,73,4902.42
156,order,235.01,60,14100.6
157,order,115.44,52,6002.88
158,order,244.68,57,13946.76
159,order,412.97,36,14866.92
160,post,299.45,70,5689.55
161,order,434.4,16,6950.4
162,post,555.05,52,3330.3
163,post,551.93,16,10486.67
164,order,114.8,64,7347.2
165,order,292.08,55,16064.4
166,post,526.89,48,3161.34
167,post,421.16,36,7159.72
168,order,481.32,33,15883.56
169,order,171.92,65,11174.8
170,order,203.82,33,6726.06
171,order,150.89,54,8148.06
172,post,317.52,77,4762.8
173,post,386.14,46,3475.26
174,post,347.4,87,1737.0
175,order,331.96,31,10290.76
176,post,642.73,32,10926.41
177,post,248.65,19,4724.35
178,order,490.11,68,33327.48
179,post,742.71,38,8912.52
180,order,316.18,13,4110.34
181,post,680.46,30,8845.98
182,order,143.67,53,7614.51
183,order,145.27,98,14236.46
184,post,389.58,65,3116.64
185,order,328.15,71,23298.65
186,order,128.56,30,3856.8
187,order,450.34,35,15761.9
188,post,219.76,28,1318.56
189,order,233.99,35,8189.65
190,order,458.96,89,40847.44
191,order,288.27,99,28538.73
192,order,348.77,11,3836.47
193,post,494.64,28,6430.32
194,order,472.12,44,20773.28
195,post,284.99,49,1709.94
196,post,846.43,94,8464.3
197,order,475.98,44,20943.12
198,order,432.29,36,15562.44
199,post,725.65,27,7256.5
200,post,504.87,72,5553.57
201,post,964.14,46,10605.54
202,post,652.32,74,11089.44
203,order,315.59,77,24300.43
204,post,878.08,17,7902.72
205,post,685.68,26,10285.2
206,order,226.78,37,8390.86
207,post,868.81,65,6950.48
208,order,464.43,93,43191.99
209,order,197.23,52,10255.96
210,order,192.36,51,9810.36
211,order,399.28,73,29147.44
212,post,754.46,62,9807.98
213,order,393.12,98,38525.76
214,order,244.75,43,10524.25
215,order,324.18,96,31121.28
216,post,931.71,36,5590.26
217,order,342.09,20,6841.8
218,order,414.52,57,23627.64
219,post,655.47,10,11798.46
220,post,940.57,11,8465.13
221,post,821.16,36,9032.76
222,order,369.64,34,12567.76
223,post,684.44,86,12319.92
224,order,236.63,87,20586.81
225,post,265.2,75,1856.4
226,order,302.01,28,8456.28
227,post,660.81,50,4625.67
228,post,919.9,54,6439.3
229,order,106.2,31,3292.2
230,post,534.9,72,5883.9
231,order,397.14,18,7148.52
232,post,895.57,90,13433.55
233,order,109.57,48,5259.36
234,post,991.95,60,10911.45
235,post,611.92,27,3059.6
