influencer_id,platform,date,url,caption,reach,likes,comments
72,YouTube,2025-05-12,http://anderson.org/,Civil ago seek government produce once go hard.,152376,18088,7399
162,YouTube,2025-05-31,http://miles-hogan.biz/,Stock interview be themselves.,151786,8974,4425
50,Instagram,2025-06-22,https://www.lin.com/,Somebody stock financial especially and various environment.,26895,2964,1007
277,Twitter,2025-07-11,https://www.wright-bennett.com/,Add time region use national beyond window.,149290,18443,6925
229,YouTube,2025-06-14,http://www.ashley.org/,Number true society radio stay.,10064,614,133
75,YouTube,2025-05-30,http://www.martinez.biz/,Travel article at manage food bad.,66824,9438,843
181,Instagram,2025-07-15,http://murphy.com/,Worry ten perhaps they evening number history color.,139176,12700,4916
127,Twitter,2025-05-07,https://www.yates-kirk.com/,Speech page if exist whose agent record.,24064,3182,553
53,YouTube,2025-05-02,http://www.smith.com/,Body foot from look key.,8854,1763,276
31,Twitter,2025-06-01,https://www.clark-clark.info/,Believe central foreign guess occur.,128867,15213,4409
257,YouTube,2025-05-13,http://garrison.com/,North not capital story.,43983,2853,1674
95,Twitter,2025-06-13,https://hernandez-wood.com/,Congress one tend national voice prove.,16524,2939,595
258,Twitter,2025-06-05,http://williams.biz/,Ask apply believe over dream.,6090,1006,236
184,Twitter,2025-07-04,http://www.johnson.com/,Trouble major partner action.,98740,8121,2770
52,Instagram,2025-06-16,https://maynard-smith.com/,Democratic week model answer interest cell.,44680,3765,1052
152,Instagram,2025-06-30,https://davis.com/,Report whole lose move long.,86750,10238,2310
120,YouTube,2025-04-26,https://www.jackson-bowen.com/,Network really ok future several.,74388,4780,2013
185,Instagram,2025-05-01,http://horton.com/,Soon apply always cause television think.,18069,2706,451
202,YouTube,2025-05-07,http://www.duncan.com/,Hold could should family reflect.,112702,8215,5287
240,YouTube,2025-05-09,http://www.perez.com/,Rise position author.,52197,3135,2258
202,YouTube,2025-05-05,https://www.sanchez.com/,Grow world democratic sure.,161878,10357,2244
49,Twitter,2025-07-21,http://mccarty.org/,About benefit police fact picture.,8565,1377,363
284,Instagram,2025-05-14,https://www.miller.biz/,Star much employee leg everything child.,191793,25595,6417
134,Instagram,2025-06-02,http://www.webster-garcia.info/,Break trip thousand follow certainly story message.,139551,18733,3235
181,Instagram,2025-06-23,https://www.gutierrez.com/,Most who hand when between just.,177983,12162,4297
