source,campaign,influencer_id,user_id,product,date,orders,revenue
Gritzo,Gritzo_Campaign_2,142,c6b2aa03-f975-42c5-aa78-9e8973f9ee3e,Gritzo Product 7,2025-05-26,1,1506.16
HKVitals,HKVitals_Campaign_3,284,d19f9698-f38b-4c2b-9baf-67a888ae7fad,HKVitals Product 7,2025-06-05,1,1327.44
MuscleBlaze,MuscleBlaze_Campaign_1,94,0452379c-7d66-43a1-b829-c0784df9ce4e,MuscleBlaze Product 8,2025-05-23,4,2542.95
HKVitals,HKVitals_Campaign_4,135,3021233c-2851-4220-a4a1-cb3c257e46d9,HKVitals Product 8,2025-07-02,2,2596.9
HKVitals,HKVitals_Campaign_3,194,5a7b8fda-afb1-4dfe-82d9-8f85d1730537,HKVitals Product 4,2025-05-28,2,3163.69
Gritzo,Gritzo_Campaign_2,282,77f9fe02-8918-4f99-ba85-f4001a9649a2,Gritzo Product 1,2025-05-30,1,1436.7
Gritzo,Gritzo_Campaign_1,37,0c25fcb4-32f9-479d-b2ef-c852c3ccdff6,Gritzo Product 2,2025-07-05,1,1815.72
Gritzo,Gritzo_Campaign_5,222,b542127c-668f-4db9-a87b-f7ef5fa2b0d1,Gritzo Product 6,2025-06-22,3,4533.89
HKVitals,HKVitals_Campaign_2,216,748fe9e6-55c9-40cb-a571-a0cb22a60685,HKVitals Product 10,2025-07-17,3,5564.46
Gritzo,Gritzo_Campaign_4,167,8ac33673-0e83-4f19-a1ea-6cb4af24f6b8,Gritzo Product 1,2025-07-17,4,6122.44
Gritzo,Gritzo_Campaign_5,16,6de99373-6fe2-4dbe-8d40-9bde2c74ba28,Gritzo Product 7,2025-07-16,4,4874.16
Gritzo,Gritzo_Campaign_5,139,f0ec173c-8419-4fe8-8993-ab6338a03ab4,Gritzo Product 8,2025-06-22,3,2961.86
MuscleBlaze,MuscleBlaze_Campaign_3,88,8e64ad9a-5fa8-4c53-9dbb-2498962bba69,MuscleBlaze Product 8,2025-07-15,1,653.83
MuscleBlaze,MuscleBlaze_Campaign_1,10,dd46109d-d43b-41e0-a592-54574b312e3a,MuscleBlaze Product 7,2025-07-18,4,4899.63
Gritzo,Gritzo_Campaign_5,194,caa74972-c9c4-4843-aa12-c2f5d6f0f75a,Gritzo Product 10,2025-07-19,3,4332.18
Gritzo,Gritzo_Campaign_2,236,4eab9d5d-44a2-4142-8f0f-dc82f7a2963f,Gritzo Product 10,2025-06-13,3,2802.71
MuscleBlaze,MuscleBlaze_Campaign_2,99,8a7a3c4e-529b-4f79-bdad-3e451768b8eb,MuscleBlaze Product 8,2025-07-05,4,2353.47
MuscleBlaze,MuscleBlaze_Campaign_2,169,4c4bec9c-6509-430c-8f17-d7d8ac044b06,MuscleBlaze Product 4,2025-07-16,4,6369.02
MuscleBlaze,MuscleBlaze_Campaign_4,148,201d81d0-bbba-4055-8e02-579edfb2f10f,MuscleBlaze Product 1,2025-06-23,2,2030.38
MuscleBlaze,MuscleBlaze_Campaign_2,183,80b12947-18f6-41d0-be5c-87ac1d218905,MuscleBlaze Product 7,2025-07-20,2,1301.68
Gritzo,Gritzo_Campaign_5,184,dd3daa6b-75c2-4250-aa26-a86104230090,Gritzo Product 3,2025-07-01,2,2030.91
HKVitals,HKVitals_Campaign_1,153,0a2059c4-7f96-4b4d-ae50-6b858f7cba61,HKVitals Product 6,2025-06-11,4,4838.76
MuscleBlaze,MuscleBlaze_Campaign_5,2,ddc71953-f591-4577-b917-732a9972bb69,MuscleBlaze Product 7,2025-06-27,3,2973.98
HKVitals,HKVitals_Campaign_3,68,346a7e64-2729-4e13-8338-c3809a83ff0c,HKVitals Product 9,2025-05-23,4,4784.31
HKVitals,HKVitals_Campaign_4,268,6a29ab4d-af99-4e02-82e1-db4520e014aa,HKVitals Product 9,2025-06-05,2,3800.27
MuscleBlaze,MuscleBlaze_Campaign_5,274,5e33f7ee-0f1c-4b58-80bc-0ece705d1646,MuscleBlaze Product 10,2025-06-29,3,5385.49
Gritzo,Gritzo_Campaign_1,144,f728cf2d-b061-40bb-b98f-6eec78807b8f,Gritzo Product 7,2025-07-09,4,5467.24
HKVitals,HKVitals_Campaign_2,171,568140b5-8940-4e87-aceb-310430d47ecf,HKVitals Product 3,2025-07-16,4,2538.69
Gritzo,Gritzo_Campaign_5,44,f83bb4c1-0b06-4abe-b2e5-d9c2a73ed02f,Gritzo Product 10,2025-07-04,3,5772.8
MuscleBlaze,MuscleBlaze_Campaign_5,243,a6c9ad9a-cb91-4378-b3e7-f9cef5c7a3d8,MuscleBlaze Product 2,2025-06-11,4,6406.85
MuscleBlaze,MuscleBlaze_Campaign_5,6,084c4ad5-5c40-4e1d-b4e9-1031faa4f2e0,MuscleBlaze Product 5,2025-07-17,4,3127.04
HKVitals,HKVitals_Campaign_3,176,cf29307c-b667-406d-904a-816d19b4df17,HKVitals Product 7,2025-07-07,2,3834.88
HKVitals,HKVitals_Campaign_5,30,3039f9b2-9ac5-4035-9a5a-0ebe85118386,HKVitals Product 8,2025-07-05,3,3944.29
Gritzo,Gritzo_Campaign_1,58,ccfbfd69-b7f7-47b2-bc57-fe85c3451631,Gritzo Product 8,2025-05-31,1,1612.66
MuscleBlaze,MuscleBlaze_Campaign_4,207,e48e96db-ead6-4ffd-9edb-057edc5ccd66,MuscleBlaze Product 5,2025-07-16,2,3210.16
MuscleBlaze,MuscleBlaze_Campaign_5,42,1d599bd4-d03f-4615-845c-ff28aa288ae6,MuscleBlaze Product 10,2025-05-25,3,2500.1
Gritzo,Gritzo_Campaign_1,178,34ca9baf-dc1b-48e3-9875-cb2ea65fd28f,Gritzo Product 7,2025-06-26,2,2805.37
HKVitals,HKVitals_Campaign_2,15,622e8861-4544-4bbd-93f0-0c9ad299a3cf,HKVitals Product 6,2025-05-28,1,1214.78
MuscleBlaze,MuscleBlaze_Campaign_3,26,e3b19ed3-7c1b-4b0a-aba0-7564b979db34,MuscleBlaze Product 8,2025-06-16,4,6992.0
HKVitals,HKVitals_Campaign_3,91,de99a427-22e1-4470-ac59-de4b7a043664,HKVitals Product 1,2025-06-06,2,2260.05
HKVitals,HKVitals_Campaign_3,260,a244b2e6-4bae-4cd4-b41e-b5a1cf95a8e2,HKVitals Product 5,2025-06-09,1,1339.58
HKVitals,HKVitals_Campaign_2,186,2d27fb67-3fa5-49be-8167-db25538a28dd,HKVitals Product 2,2025-05-28,3,4676.56
MuscleBlaze,MuscleBlaze_Campaign_4,143,a6877087-8e02-4ec2-9fb7-8da4293019a9,MuscleBlaze Product 5,2025-06-30,3,2534.47
HKVitals,HKVitals_Campaign_4,261,0bc63c7c-178d-474c-9555-7dccddeee362,HKVitals Product 5,2025-06-15,4,7825.33
Gritzo,Gritzo_Campaign_2,197,6e13a959-20a3-491b-ad25-1e4831b46d1d,Gritzo Product 2,2025-06-20,4,4007.29
HKVitals,HKVitals_Campaign_4,47,ea1219c7-afc6-4051-8da5-77543c85864b,HKVitals Product 4,2025-06-16,1,1054.07
Gritzo,Gritzo_Campaign_5,296,812ca53c-d72a-4ff6-b8d8-5820056435d8,Gritzo Product 8,2025-05-25,4,5561.6
HKVitals,HKVitals_Campaign_5,104,9309e528-f9de-4b17-b478-13f16ec542ed,HKVitals Product 1,2025-07-10,2,1688.29
MuscleBlaze,MuscleBlaze_Campaign_3,130,2234e0f6-33bc-4563-ac34-b7d7820788f4,MuscleBlaze Product 2,2025-06-28,1,1834.27
Gritzo,Gritzo_Campaign_4,248,ab5f05b2-1ae9-4aa0-b40c-7ad899254245,Gritzo Product 9,2025-06-13,3,2610.79
MuscleBlaze,MuscleBlaze_Campaign_5,227,543cd191-6150-4372-897b-ab11a62bfc8a,MuscleBlaze Product 9,2025-06-20,4,7869.96
MuscleBlaze,MuscleBlaze_Campaign_2,264,89b9f83a-8762-43cf-b805-93874d5c4ab6,MuscleBlaze Product 3,2025-07-16,4,2417.9
MuscleBlaze,MuscleBlaze_Campaign_2,239,7ada930a-e4c5-47df-a25f-266918acc1b2,MuscleBlaze Product 1,2025-06-15,1,796.77
MuscleBlaze,MuscleBlaze_Campaign_1,165,6b886ce0-af69-4a26-867c-5dcaf7a62f3b,MuscleBlaze Product 8,2025-06-06,3,4959.86
HKVitals,HKVitals_Campaign_3,18,8ff4896d-b755-4361-b988-e96e9450a271,HKVitals Product 4,2025-06-13,3,2112.8
